Date,Open,High,Low,Close,Adj Close,Volume
2011-12-02,4.040000,4.280000,4.000000,4.240000,3.340766,283736900
2011-12-06,4.240000,4.340000,4.220000,4.220000,3.325007,213145800
2011-12-07,4.280000,4.560000,4.260000,4.540000,3.577141,312588200
2011-12-08,4.520000,4.580000,4.440000,4.500000,3.545624,173810700
2011-12-09,4.480000,4.620000,4.460000,4.560000,3.592899,184295700
2011-12-13,4.560000,4.560000,4.400000,4.400000,3.466833,133814500
2011-12-14,4.440000,4.460000,4.200000,4.220000,3.325007,133114100
2011-12-15,4.180000,4.400000,4.120000,4.400000,3.466833,164795900
2011-12-16,4.380000,4.540000,4.360000,4.440000,3.498349,204671700
2011-12-19,4.420000,4.480000,4.400000,4.420000,3.482591,61989700
2011-12-20,4.460000,4.520000,4.400000,4.420000,3.482591,105732400
2011-12-21,4.480000,4.580000,4.440000,4.540000,3.577141,135912800
2011-12-22,4.540000,4.580000,4.480000,4.540000,3.577141,136309900
2011-12-23,4.560000,4.560000,4.400000,4.400000,3.466833,82895800
2011-12-26,4.420000,4.440000,4.260000,4.280000,3.372283,83715800
2011-12-27,4.300000,4.300000,4.160000,4.200000,3.309249,77146200
2011-12-28,4.220000,4.280000,4.200000,4.220000,3.325007,75362900
2011-12-29,4.220000,4.260000,4.100000,4.140000,3.261974,102419600
2011-12-30,4.160000,4.180000,4.060000,4.080000,3.214699,85967800
2012-01-04,4.140000,4.220000,4.140000,4.160000,3.277732,136829200
2012-01-05,4.160000,4.240000,4.140000,4.180000,3.293491,96498400
2012-01-06,4.180000,4.200000,4.140000,4.180000,3.293491,38312200
2012-01-09,4.180000,4.340000,4.160000,4.340000,3.419557,141176300
2012-01-10,4.380000,4.420000,4.360000,4.420000,3.482591,125299200
2012-01-11,4.420000,4.460000,4.380000,4.380000,3.451074,81067300
2012-01-12,4.380000,4.400000,4.300000,4.320000,3.403799,49494000
2012-01-13,4.320000,4.360000,4.220000,4.280000,3.372283,59728900
